Id;Nazwa;M¹ka;Miêso;bia³ko;¿ó³tko;olej;sól;woda;cebula;czosnek;przyprawy/zio³a;ser bia³y;ciastka/bu³ka tarta;mas³o;œmietana;cukier/miód;mleko;galaretka/budyñ;orzechy/nasiona;owoce;proszek do pieczenia/soda;kakao;jogurt;cytryna;skrobia;warzywa;ser;czekolada;dro¿d¿e;kawa;makaron/ry¿/kasza
67;Serniczki;60;;1;1;;;;;;;250;;;;60;;;;;;;;;;;;;;;
68;Racuchy z owocami;260;;1;1;20;;;;;;;;;;40;250;;;300;;;;;;;;;25;;
69;Placki z jab³kami;160;;2;2;;;;;;;;;40;;20;;;;300;2;;270;;;;;;;;
70;bliny;180;;1;1;;1;120;;;;;;;;10;120;;;;;;;;;;;;15;;
71;oponki serowe;500;;;4;500;;;;;;600;;;90;100;;;;;2;;;;;;;;;;
72;oliebollen;400;;1;3;500;;;;;;;;;;30;250;;;450;;;;;;;;;40;;
73;ptysie;200;;4;4;;;250;;;;;;130;450;100;;;;;;;;;;;;;;;
74;p¹czki;500;;;4;1000;;;;;;;;50;;40;250;;;120;;;;;;;;;25;;
75;sernik pistacjowy;;;4;4;;;;;;;1000;150;100;;150;;1;200;;;;;;;;;;;;
76;sernik na zimno;;;;;;;650;;;;800;60;;200;60;;3;;500;;;;;;;;;;;
77;sernik japoñski;30;;6;6;;;;;;;300;;50;;100;120;;;;;;;1;20;;;;;;
78;sernik cytrynowy;20;;6;6;;;;;;;1000;200;150;;150;;1;;;;;;2;;;;;;;
79;sernik wiedeñski;10;;8;8;;;;;;1;1000;;200;;200;;;;;;;;;10;;;;;;
80;karpatka;200;;6;6;;;250;;;;;;350;;50;500;2;;;1;;;;;;;;;;
81;metrowiec;620;;8;13;150;;150;;;2;;;;150;450;1000;;;;3;30;;;;;;150;;;
82;piernik;320;;2;2;;;;;;3;;;100;;210;250;;;;2;10;;;;;;;;;
83;cha³ka;550;;;;;1;;;;;;;110;;100;250;;;;;;;;;;;;30;;
84;pierogi ruskie;500;;;;50;4;250;2;;1;300;;;;;;;;;;;;;;500;;;;;
85;kluski œl¹skie;;;1;1;;4;;;;;;;;;;;;;;;;;;200;1000;;;;;
86;szakszuka;;;3;3;30;2;;1;3;2;;;;;;;;;;;;;;;500;;;;;
87;placki z cukinii;100;;2;2;40;4;;;;0,5;;;;;;;;;;;;;;;400;;;;;
88;kotlety ziemniaczane;20;;1;1;40;4;;1;;1;;30;;;;;;;;;;;;;500;;;;;
89;mac and cheese;30;;;;;4;500;;;1;;;30;;;250;;;;;;;;;;200;;;;250
90;knedle ;200;;1;1;;4;;;;;;;;;;;;;300;;;;;;500;;;;;
91;tarta ze szpinakiem;200;;1;2;;4;;;3;;;;120;70;;;;;;;;;;;500;150;;;;
92;quiche;300;300;4;4;;4;;;;2;;;150;350;;;;;;;;;;;;100;;;;
93;ry¿ z warzywami;;;;;60;8;500;1;6;3;;;;;;;;;;;;;;;1200;;;;;250
94;fasolka po bretoñsku;;600;;;;8;1000;1;5;4;;;;;;;;;;;;;;;1500;;;;;
95;go³¹bki;;700;;;20;8;400;1;;;;;;;;;;;;;;;;;800;;;;;150
96;lasagne;;700;;;30;8;;2;5;4;;;40;;;250;;;;;;;;;600;400;;;;220
97;kotlety mielone;;500;1;1;30;4;;1;1;1;;50;;;;;;;;;;;;;;;;;;
98;carbonara;;300;2;6;;4;1000;;;1;;;;;;;;;;;;;;;;100;;;;500
99;gulasz;40;1000;;;40;8;500;2;;3;;;;;;;;;;;;;;;500;;;;;
100;pierogi z miêsem;500;800;;;;6;250;2;;1;;;;;;;;;;;;;;;;;;;;
